service_id,date,exception_type
6,20230315,1
6,20230316,1
6,20230317,1
6,20230320,1
6,20230321,1
6,20230322,1
6,20230323,1
6,20230324,1
6,20230327,1
6,20230328,1
6,20230329,1
6,20230330,1
6,20230331,1
6,20230403,1
6,20230404,1
6,20230405,1
6,20230406,1
6,20230407,1
6,20230410,1
6,20230411,1
6,20230412,1
6,20230413,1
6,20230414,1
6,20230417,1
6,20230418,1
6,20230419,1
6,20230420,1
6,20230421,1
6,20230424,1
6,20230425,1
6,20230426,1
6,20230427,1
6,20230428,1
6,20230501,1
6,20230502,1
6,20230503,1
6,20230504,1
6,20230505,1
6,20230508,1
6,20230509,1
6,20230510,1
6,20230511,1
6,20230512,1
6,20230515,1
6,20230516,1
6,20230517,1
6,20230518,1
6,20230519,1
6,20230522,1
6,20230523,1
6,20230524,1
6,20230525,1
6,20230526,1
6,20230529,1
6,20230530,1
6,20230531,1
6,20230601,1
6,20230602,1
6,20230605,1
6,20230606,1
6,20230607,1
6,20230608,1
6,20230609,1
6,20230612,1
6,20230613,1
6,20230614,1
6,20230615,1
6,20230616,1
6,20230619,1
6,20230620,1
6,20230621,1
6,20230622,1
6,20230623,1
6,20230626,1
6,20230627,1
6,20230628,1
6,20230629,1
6,20230630,1
6,20230703,1
6,20230704,1
6,20230705,1
6,20230706,1
6,20230707,1
6,20230710,1
6,20230711,1
6,20230712,1
6,20230713,1
6,20230714,1
6,20230717,1
6,20230718,1
6,20230719,1
6,20230720,1
6,20230721,1
6,20230724,1
6,20230725,1
6,20230726,1
6,20230727,1
6,20230728,1
6,20230731,1
6,20230801,1
6,20230802,1
6,20230803,1
6,20230804,1
6,20230807,1
6,20230808,1
6,20230809,1
6,20230810,1
6,20230811,1
6,20230814,1
6,20230815,1
6,20230816,1
6,20230817,1
6,20230818,1
7,20230221,1
7,20230222,1
7,20230223,1
7,20230227,1
7,20230228,1
7,20230301,1
7,20230302,1
7,20230306,1
7,20230307,1
7,20230308,1
7,20230309,1
7,20230313,1
7,20230314,1
7,20230315,1
7,20230316,1
7,20230320,1
7,20230321,1
7,20230322,1
7,20230323,1
7,20230327,1
7,20230328,1
7,20230329,1
7,20230330,1
7,20230403,1
7,20230404,1
7,20230405,1
7,20230406,1
7,20230410,1
7,20230411,1
7,20230412,1
7,20230413,1
7,20230417,1
7,20230418,1
7,20230419,1
7,20230420,1
7,20230424,1
7,20230425,1
7,20230426,1
7,20230427,1
7,20230501,1
7,20230502,1
7,20230503,1
7,20230504,1
7,20230508,1
7,20230509,1
7,20230510,1
7,20230511,1
7,20230515,1
7,20230516,1
7,20230517,1
7,20230518,1
7,20230522,1
7,20230523,1
7,20230524,1
7,20230525,1
7,20230529,1
7,20230530,1
7,20230531,1
7,20230601,1
7,20230605,1
7,20230606,1
7,20230607,1
7,20230608,1
7,20230612,1
7,20230613,1
7,20230614,1
7,20230615,1
7,20230619,1
7,20230620,1
7,20230621,1
7,20230622,1
7,20230626,1
7,20230627,1
7,20230628,1
7,20230629,1
7,20230703,1
7,20230704,1
7,20230705,1
7,20230706,1
7,20230710,1
7,20230711,1
7,20230712,1
7,20230713,1
7,20230717,1
7,20230718,1
7,20230719,1
7,20230720,1
7,20230724,1
7,20230725,1
7,20230726,1
7,20230727,1
7,20230731,1
7,20230801,1
7,20230802,1
7,20230803,1
7,20230807,1
7,20230808,1
7,20230809,1
7,20230810,1
7,20230814,1
7,20230815,1
7,20230816,1
7,20230817,1
8,20230224,1
8,20230303,1
8,20230310,1
8,20230317,1
8,20230324,1
8,20230331,1
8,20230407,1
8,20230414,1
8,20230421,1
8,20230428,1
8,20230505,1
8,20230512,1
8,20230519,1
8,20230526,1
8,20230602,1
8,20230609,1
8,20230616,1
8,20230623,1
8,20230630,1
8,20230707,1
8,20230714,1
8,20230721,1
8,20230728,1
8,20230804,1
8,20230811,1
8,20230818,1
